Column,Description
bird_id,"Identification number (1, 2, 3, etc.) of bird sighting. One number per sighting."
site,Three letter code for site sampling at. Ex: Sunset Cove is SSC
date,Date of sampling
start_block,"Randomized block to start transect in. Each block is 10x10m, with ""1-1"" being the origin. "
cardinal_direction,randomized direction in which to walk transect
start_time,Time when first searching for bird began
end_time,Time after two hours of searching for bird
lat,Lat of bird sighting (will be the same for all records in point count sessions)
lon,Lon of bird sighting (will be the same for all records in point count sessions)
bird_species,Species of bird to best of ability. May need to wait until looking at photos. 
distance_meters,Distance from transect to bird with lines at 90 degree angle
bird_behavior,Behavior Code of focal bird individual (see bird_ethogram)
mesohabitat,"habitat details at areas of sighting. Ex: shrub, cactus canopy, cactus understory, open, ground, rock, etc."
photo_id,"Photo document name created by camera. Fill this in AS you take photos, not in post."
