gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2005390818,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20512597,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.730733,-111.864813,4,,,,,,2019-02-18T13:29:02Z,18,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20512597,,,2019-02-21T06:06:34Z,CC_BY_NC_4_0,Merav Vonshak,Merav Vonshak,,,2019-02-25T02:18:09.447Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005390047,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20510372,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.729708,-111.865058,4,,,,,,2019-02-18T13:41:22Z,18,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20510372,,,2019-02-21T06:06:01Z,CC_BY_NC_4_0,Merav Vonshak,Merav Vonshak,,,2019-02-25T02:18:08.321Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005373480,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20452183,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,thornberi,VARIETY,Cylindropuntia acanthocarpa var. thornberi (Thornber & Bonker) Backeb.,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.754314,-111.497229,72,,,,,,2019-02-17T12:15:00Z,17,2,2019,3953594,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20452183,,,2019-02-19T04:20:07Z,CC_BY_NC_4_0,radinis,radinis,,,2019-02-25T02:17:42.558Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005363750,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20424522,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.610114,-111.711094,5,,,,,,2019-02-17T09:58:42Z,17,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20424522,,,2019-02-17T18:23:38Z,CC_BY_NC_4_0,tallhiker,tallhiker,,,2019-02-25T02:17:27.054Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005356115,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20401505,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.159275,-111.612045,,,,,,,2019-02-16T14:54:57Z,16,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20401505,,,2019-02-17T01:42:36Z,CC_BY_NC_4_0,devoooooooo,devoooooooo,,,2019-02-25T02:17:14.415Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005354404,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20394216,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,thornberi,VARIETY,Cylindropuntia acanthocarpa var. thornberi (Thornber & Bonker) Backeb.,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.885755,-111.815743,84,,,,,,2019-02-10T11:53:00Z,10,2,2019,3953594,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20394216,,,2019-02-19T04:19:43Z,CC_BY_NC_4_0,radinis,radinis,,,2019-02-25T02:17:11.603Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005354311,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20394199,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.885803,-111.815722,54,,,,,,2019-02-10T11:53:00Z,10,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20394199,,,2019-02-16T20:17:33Z,CC_BY_NC_4_0,radinis,radinis,,,2019-02-25T02:17:11.336Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005352454,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20387926,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.572384,-111.513954,,,,,,,2019-02-15T09:15:23Z,15,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20387926,,,2019-02-16T15:33:58Z,CC_BY_NC_4_0,Andy Bridges,Andy Bridges,,,2019-02-25T02:17:07.679Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005352325,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20387625,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,thornberi,VARIETY,Cylindropuntia acanthocarpa var. thornberi (Thornber & Bonker) Backeb.,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.573719,-111.514236,,,,,,,2019-02-15T09:21:08Z,15,2,2019,3953594,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20387625,,,2019-02-18T20:24:50Z,CC_BY_NC_4_0,Andy Bridges,Andy Bridges,,,2019-02-25T02:17:07.474Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005345933,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20368241,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.216741,-111.140037,3,,,,,,2019-02-14T15:53:45Z,14,2,2019,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,20368241,,,2019-02-17T18:46:53Z,CC_BY_NC_4_0,Alan Bragg,Alan Bragg,,,2019-02-25T02:16:56.924Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
